usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count,inference_geo,speed
2026-07-01,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,53632,0,0,0,14921,0,not_available,
2026-07-02,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,29846,0,0,0,4719,0,not_available,
2026-07-03,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4158,0,not_available,
2026-07-04,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4314,0,not_available,
2026-07-05,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,125619,0,0,0,38299,0,not_available,
2026-07-06,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,119768,0,0,0,28329,0,not_available,
2026-07-07,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10500,0,not_available,
2026-07-08,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10498,0,not_available,
2026-07-09,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10421,0,not_available,
2026-07-10,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10568,0,not_available,
2026-07-11,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10482,0,not_available,
2026-07-12,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10362,0,not_available,
2026-07-13,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,117610,0,0,0,27689,0,not_available,
2026-07-14,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,61947,0,0,0,10840,0,not_available,
2026-07-15,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10491,0,not_available,
2026-07-16,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10551,0,not_available,
2026-07-17,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,61948,0,0,0,10838,0,not_available,
2026-07-18,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,200647,0,0,0,303211,0,not_available,
2026-07-19,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,162043,0,0,0,11970,0,not_available,
2026-07-20,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,117610,0,0,0,27439,0,not_available,
2026-07-21,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10599,0,not_available,
2026-07-22,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,67507,0,0,0,11739,0,not_available,
2026-07-23,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10579,0,not_available,
2026-07-24,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10385,0,not_available,
2026-07-25,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10601,0,not_available,
2026-07-26,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,516868,0,0,0,27280,36,not_available,
2026-07-27,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,117610,0,0,0,27494,0,not_available,
2026-07-28,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,67017,0,0,0,11720,0,not_available,
2026-07-29,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10517,0,not_available,
2026-07-30,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,61937,0,0,0,10777,0,not_available,
2026-07-31,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,59699,0,0,0,10270,0,not_available,
