id,set,file,width,height,aspect,size_kb
2,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.46 PM.jpeg,1024,1536,0.667,371
3,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.48 PM.jpeg,1024,1536,0.667,401
4,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.49 PM.jpeg,1024,1536,0.667,276
5,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.50 PM.jpeg,1024,1536,0.667,297
6,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.52 PM.jpeg,1024,1536,0.667,268
7,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.53 PM.jpeg,1024,1536,0.667,286
8,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.55 PM.jpeg,1024,1536,0.667,304
9,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.56 PM.jpeg,1024,1536,0.667,319
10,set-8-13-22,WhatsApp Image 2026-07-30 at 6.41.58 PM.jpeg,1024,1536,0.667,343
11,set-8-13-22,WhatsApp Image 2026-07-30 at 6.42.00 PM.jpeg,1024,1536,0.667,366
12,set-8-13-22,WhatsApp Image 2026-07-30 at 6.42.02 PM.jpeg,1024,1536,0.667,355
14,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.05 PM.jpeg,1024,1536,0.667,363
15,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.07 PM.jpeg,1024,1536,0.667,360
16,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.08 PM.jpeg,1024,1536,0.667,392
17,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.10 PM.jpeg,1024,1536,0.667,412
18,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.12 PM.jpeg,1024,1536,0.667,378
19,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.13 PM.jpeg,1024,1536,0.667,405
20,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.15 PM.jpeg,1024,1536,0.667,401
21,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.16 PM.jpeg,1024,1536,0.667,361
22,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.17 PM.jpeg,1024,1536,0.667,399
23,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.19 PM.jpeg,1024,1536,0.667,395
24,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.20 PM.jpeg,1122,1402,0.8,389
25,set-8-13-27,WhatsApp Image 2026-07-30 at 6.42.22 PM.jpeg,1024,1536,0.667,352
